uid_org,name_org,description,org_type,website,year_founded,facebook,twitter
fgv-ceapg-centro-de-estudos-em-administracão-publica-e-governo-da-escola-de-administracão-de-empresas-da-fundacão-getulio-vargas,Fgv.Ceapg - Centro De Estudos Em Administração Pública E Governo Da Escola De Administração De Empresas Da Fundação Getulio Vargas,,Universidad/Instituto de investigación,ttp://ceapg.fgv.br/,1989,,
observatorio-do-recife,Observatório Do Recife,,Organización civil sin fines de lucro (ONG),www.observatoriodorecife.org.br,2008,,
centro-de-estudios-ambientales-y-sociales-ceamso,Centro De Estudios Ambientales Y Sociales (Ceamso),,Universidad/Instituto de investigación,www.ceamso.org.py,1997,,
geleia-mob,Geleia .Mob,,Empresa privada (startup),apps.geleiamob.com,2013,,
investigacion-e-innovacion-factual-a-c,"Investigación E Innovación Factual, A.C.",,Organización civil sin fines de lucro (ONG),https://www.factual.com.mx/,2012,,
asuntos-del-sur,Asuntos Del Sur,,Empresa privada (no incluye startup),www.asuntosdelsur.org,2009,,
coordinadora-nacional-de-derechos-humanos,Coordinadora Nacional De Derechos Humanos,,Gobierno,,,,
eokoe-soluções-tecnologicas-ltda,EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,,,http://www.appcivico.com/,2015,,
asociacion-colectiva-para-la-defensa-de-los-derechos-de-las-mujeres-en-guatemala,Asociación Colectiva Para La Defensa De Los Derechos De Las Mujeres En Guatemala,,Organización civil sin fines de lucro (ONG),www.codefem.org,1999,,
ojo-al-voto,Ojo Al Voto,,Organización civil sin fines de lucro (ONG),,,,
fundacion-mapocho,Fundación Mapocho,,Organización civil sin fines de lucro (ONG),www.bancaetica.cl www.dobleimpacto.cl,2016,,
consejo-civico-de-instituciones-de-nuevo-leon-a-c,"Consejo Cívico De Instituciones De Nuevo León, A.C.",,Organización civil sin fines de lucro (ONG),www.consejocivico.org.mx,1975,,
presidencia,Presidencia,,Gobierno,,,,
visual-reporting-technologies-s-de-r-l-de-c-v,"VISUAL REPORTING TECHNOLOGIES, S. DE R.L. DE C.V.",,,http://virkapp.com/,2015,,
ilhasoft,Ilhasoft,,Empresa privada (startup),www.ilhapush.com,2012,,
subsidios-claros,Subsidios Claros,,Empresa privada (startup),http://subsidios.uy/,2015,,
caritas-brasileira-regional-nordeste-ii,Cáritas Brasileira Regional Nordeste Ii,,Organización civil sin fines de lucro (ONG),http://caritas.org.br/,2002,,
gana-nariño,GANA - Gobierno Abierto de Nariño,Es el Gobierno Abierto de Nariño y uno de los tres pilares del programa de gobierno del departamento.,,https://gana.xn--nario-rta.gov.co/,,https://www.facebook.com/GANA-1321425637872855/,https://twitter.com/GANANARINO
sociedad-en-movimiento-ac,"Sociedad En Movimiento, Ac",,Organización civil sin fines de lucro (ONG),www.senm.org.mx,2009,,
fundacion-ciencias-de-la-documentacion,Fundación Ciencias De La Documentación,,Organización internacional,http://www.documentalistas.org,2005,,
xue-colombia-ltda,Xue Colombia Ltda,,Empresa privada (no incluye startup),http://www.xuecolombia.com,2003,,
centro-universitario-de-belo-horizonte-unibh-anima-educacion,Centro Universitario de Belo Horizonte - UniBh / ANIMA Educación,,,http://www.unibh.br/,2017,,
universidad-de-chile-facultad-de-ciencias-fisicas-y-matematicas-departamento-de-ingenieria-industrial-centro-de-investigacion-en-inteligencia-de-negocios-ceine,"Universidad De Chile, Facultad De Ciencias Físicas Y Matemáticas, Departamento De Ingeniería Industrial, Centro De Investigación En Inteligencia De Negocios (Ceine)",,Universidad/Instituto de investigación,http://www.ceine.cl,2012,,
municipalidad-de-rosario-secretaria-de-economia-social-direccion-general-de-desarrollo-de-la-economia-social,"Municipalidad De Rosario, Secretaria De Economia Social, Dirección General De Desarrollo De La Economía Social",,Gobierno,https://www.rosario.gov.ar/web/ciudad/economia-solidaria,2015,,
moe,MOE,"Es una plataforma de organizaciones de la sociedad civil que promueve el ejercicio de los derechos civiles y políticos de la ciudadanía, fomentando la participación y la democracia por medio de monitoreo y observación electoral.",,https://moe.org.co/,2006,https://www.facebook.com/moecolombia/?ref=br_rs,https://twitter.com/moecolombia?lang=es
centro-de-investigaciones-y-estudios-en-antropologia-social,Centro De Investigaciones Y Estudios En Antropología Social,,Universidad/Instituto de investigación,,,,
nucleo-de-informacão-e-coordenacão-do-ponto-br-nic-br,Núcleo De Informação E Coordenação Do Ponto Br - Nic.Br,,Organización civil sin fines de lucro (ONG),www.nic.br,2005,,
cocidade,Cocidade,,Organización civil sin fines de lucro (ONG),www.cocidade.com.br,2014,,
krieger-electronics-de-mexico-sa-de-cv,Krieger Electronics De Mexico Sa De Cv,,Empresa privada (no incluye startup),krieger.mx,2012,,
the-next-services,The Next Services,,Empresa privada (startup),www.thenextservices.com,2015,,
burocratas,Burócratas,Es una organización de tecnología cívica que busca ampliar y fortalecer la participación ciudadana ofreciendo información de calidad sobre la administración pública através del uso de herramientas tecnológicas.,,http://burocratas.co/html/,2016,https://www.facebook.com/burocratasco/,https://twitter.com/burocratas_co?lang=es
mexico-informate,México Infórmate,Es una iniciativa ciudadana que propone reducir la opacidad para combatir la corrupción e impunidad y promover la cultura de transparencia.,,,,https://es-la.facebook.com/pages/category/Nonprofit-Organization/M%C3%A9xico-Inf%C3%B3rmate-181883496429/,https://twitter.com/mxinformate
impaqto,Impaqto,,Empresa privada (startup),www.impaqto.net,2013,,
malalai-tecnologia-de-seguranca-ltda,Malalai Tecnologia De Segurança Ltda,,Empresa privada (startup),http://malalai.com.br,2016,,
centro-tecnologico-ctc,Centro Tecnológico (Ctc),,,,,,
sociedad-civil-abriendo-datos-costa-rica,Sociedad Civil Abriendo Datos Costa Rica,,Organización civil sin fines de lucro (ONG),abriendodatoscostarica.org,2015,,
uniandes,Uniandes,Universidad colombiana,,https://uniandes.edu.co/es/universidad,1948,https://www.facebook.com/Universidad-de-los-Andes-312867483159/,https://twitter.com/Uniandes
associacão-brasileira-de-jornalismo-investigativo,Associação Brasileira De Jornalismo Investigativo,,Organización civil sin fines de lucro (ONG),www.abraji.org.br,2003,,
data-uy,Data UY,"Trabaja en temas de gobierno abierto, datos abiertos, acceso a la información pública y participación a través del uso de tecnología cívica.",,https://www.datauy.org/,2012,https://www.facebook.com/DATAUruguay/,https://twitter.com/DATAuy
jota-info,O JOTA.info,JOTA.info é um veículo de imprensa fundado por jornalistas especializados no acompanhamento jurídico e institucional do Brasil. ,,https://www.jota.info/,,,
tercera-cumbre-ciudadana,tercera-cumbre-ciudadana,,,,,,
veeduria-distrital-de-bogota-veeduria-delegada-para-la-contratacion,"Veeduria Distrital De Bogotá, Veeduría Delegada Para La Contratación",,Gobierno,http://veeduriadistrital.gov.co/,1993,,
centro-de-estudios-para-la-equidad-y-gobernanza-en-los-sistemas-de-salud-cegss,"Centro De Estudios Para La Equidad Y Gobernanza En Los Sistemas De Salud, Cegss",,Organización civil sin fines de lucro (ONG),www.cegss.org.gt,2009,,
fundacion-desarrollo-social-lealtad-chile,Fundación Desarrollo Social Lealtad Chile,,Organización civil sin fines de lucro (ONG),www.fundacionlealtadchile.org,2013,,
o-instituto-ambiental,O Instituto Ambiental,,Organización civil sin fines de lucro (ONG),www.oia.org.br,1993,,
pontificia-universidad-catolica-del-peru,Pontificia Universidad Católica Del Perú,,Universidad/Instituto de investigación,www.pucp.edu.pe,1971,,
fundacion-base-publica,Fundación Base Pública,,Organización civil sin fines de lucro (ONG),http://beta.basepublica.org/,2015,,
grupo-cidic-grupo-cemos-esc-de-ingenieria-electrica-electronica-y-de-telecomunicaciones-universidad-industrial-de-santander,"Grupo CIDIC + GRUPO CEMOS / Esc. de Ingeniería Eléctrica, Electrónica y de Telecomunicaciones / Universidad Industrial de Santander",,,www.uis.edu.co / http://e3t.uis.edu.co/eisi/grupo/cemos/#views/gm1/inicio,2001,,
ada,Ada,,Otro,,,,
quartz,Quartz,Es una organización de noticias de negocios. Se lanzó desde la ciudad de Nueva York en 2012 y opera ediciones en África e India,,https://qz.com/,,https://www.facebook.com/quartznews/,https://twitter.com/qz?lang=es
delpuerto-comunicaciones,Delpuerto Comunicaciones,,Empresa privada (no incluye startup),www.delpuerto.cl,2010,,
escuela-de-datos-icfj,"Escuela De Datos,Icfj",,Otro,,,,
comunicacion-corporativa-de-centroamerica,Comunicación Corporativa De Centroamérica,,Empresa privada (no incluye startup),www.cckcentroamerica.com,1988,,
gafit-solucões-em-automacão-ltda-me,Gafit Soluções Em Automação Ltda - Me,,Empresa privada (startup),http://gafit.com.br,2012,,
cooperativa-aca-comunicaciones,Cooperativa Acá Comunicaciones,,Otro,www.acacomunicaciones.cl,2009,,
acecci-associacão-cearense-de-combate-a-corrupcão-e-a-impunidade,Acecci - Associação Cearense De Combate À Corrupção E À Impunidade,,Organización civil sin fines de lucro (ONG),www.acaocearense.org,2012,,
instituto-de-estudios-del-trabajo-inet,Instituto De Estudios Del Trabajo -Inet-,,Organización civil sin fines de lucro (ONG),portalinet.org,2014,,
ea-tech,Ea Tech,,Otro,www.eatech.com.mx,2015,,
instituto-demos,Instituto Demos,,Organización civil sin fines de lucro (ONG),guatemalademos.org.gt,2006,,
mapas-coletivos,Mapas Coletivos,,Otro,http://www.mapascoletivos.com.br/,2012,,
centro-bicicultura,Centro Bicicultura,,Organización civil sin fines de lucro (ONG),www.bicicultura.cl,2006,,
dtlnet-ltda,Dtlnet Ltda.,,Empresa privada (no incluye startup),www.dtlnet.cl,2004,,
faculdade-latino-americana-de-ciencias-sociais-flacso,Faculdade Latino-Americana De Ciências Sociais (Flacso),,Organización internacional,http://flacso.org.br/?page_id=271,1990,,
corporacion-control-social-colombia,Corporación Control Social Colombia,,Organización civil sin fines de lucro (ONG),,2017,,
explico-s-a,"Explico, S.A.",,Empresa privada (no incluye startup),,,,
fundacion-biciaccion,Fundación Biciacción,,Organización civil sin fines de lucro (ONG),http://www.biciaccion.org/,2003,,
fundacion-conocimiento-abierto,Fundación Conocimiento Abierto,,Organización civil sin fines de lucro (ONG),https://www.fcabierto.org/,2014,,
universidad-industrial-de-santander,Universidad Industrial De Santander,,Universidad/Instituto de investigación,,,,
cedaps-centro-de-promoção-da-saude,CEDAPS - CENTRO DE PROMOÇÃO DA SAÚDE,,,WWW.CEDAPS.ORG.BR,1993,,
cainfo,Cainfo,,Organización civil sin fines de lucro (ONG),http://www.cainfo.org.uy/que-es-cainfo/,2008,,
ae-edg,Ae Edg,,Universidad/Instituto de investigación,http://edg.org.gt/,2015,,
pacifista-col,Pacifista,Es un proyecto enfocado en contenidos sobre la terminación del conflicto armado y la construcción de paz en Colombia,,http://pacifista.co/,,https://www.facebook.com/PACIFISTACOL,https://twitter.com/Pacifistacol
opendata-py,Opendata.Py,,,,,,
lar-de-maria-dolores,Lar De Maria Dolores,,Organización civil sin fines de lucro (ONG),http://www.lardemariadolores.org.br/,1983,,
fundacao-educativa-e-cultural-arca,Fundação Educativa E Cultural - Arca,,Organización civil sin fines de lucro (ONG),www.fundacaoarca.org.br,2004,,
centro-de-promocion-de-la-mujer-gregoria-apaza-cpmga,Centro De Promoción De La Mujer Gregoria Apaza- Cpmga,,Organización civil sin fines de lucro (ONG),www.gregorias.org.bo,1983,,
trujillo-ahora,Trujillo Ahora,,Organización civil sin fines de lucro (ONG),http://www.trujilloahora.com/,2012,,
instituto-banco-da-periferia-palmas-lab,Instituto Banco Da Periferia - Palmas Lab,,Organización civil sin fines de lucro (ONG),www.bancodaperiferia.org.br,2014,,
instituto-stela,Instituto Stela,,Organización civil sin fines de lucro (ONG),www.stela.org.br,2002,,
bikedash,Bikedash,,,,2017,,
sistemas-de-informacion-geografica-para-la-planeacion-y-ordenamiento-del-territorio-sigpot-sa-de-cv,Sistemas De Información Geográfica Para La Planeación Y Ordenamiento Del Territorio (Sigpot Sa De Cv),,Empresa privada (no incluye startup),www.sigpot.info,2011,,
ministerio-de-salud-la-factura,"Ministerio De Salud,La Factura",,Gobierno,,,,
centro-peruano-para-la-resiliencia-de-socioecosistemas-urbanos-centro-urbes,Centro Peruano Para La Resiliencia De Socioecosistemas Urbanos - Centro Urbes,,Organización civil sin fines de lucro (ONG),www.centrourbes.org,2015,,
laboratorio-para-la-accion-publica,Laboratorio Para La Acción Pública,,Organización civil sin fines de lucro (ONG),www.accionpublica.info,2017,,
onesmart-technology-sa-de-cv,Onesmart Technology Sa De Cv,,Empresa privada (startup),www.onesmart.tech,2015,,
corporacion-con-tacto-local,Corporación Con Tacto Local,,Organización civil sin fines de lucro (ONG),http://www.contactolocal.org,2007,,
departamento-de-engenharia-e-gestão-do-conhecimento-degc,Departamento De Engenharia E Gestão Do Conhecimento (Degc),,Universidad/Instituto de investigación,,,,
campana-global-por-la-libertad-de-expresion-a19-a-c,"Campaña Global Por La Libertad De Expresión A19, A.C.",,Organización civil sin fines de lucro (ONG),www.ariculo19.org,2008,,
imaflora,Imaflora,,Organización civil sin fines de lucro (ONG),www.imaflora.org,1995,,
unidad-positiva-para-el-desarrollo-ciudadano-updc,Unidad Positiva Para El Desarrollo Ciudadano - Updc,,Organización civil sin fines de lucro (ONG),,2013,,
socialab-global,Socialab Global,,Empresa privada (startup),www.socialab.com,2016,,
fundacion-la-network,Fundación La Network,,Organización civil sin fines de lucro (ONG),http://la.network/,2015,,
grupo-cemos,Grupo Cemos,,Universidad/Instituto de investigación,,,,
centro-de-empreendedorismo-universitario-consultoria-ltda,Centro De Empreendedorismo Universitario &Consultoria Ltda,,Empresa privada (no incluye startup),www.ceuconsultoria.com,2001,,
instituto-casa-da-cidade,Instituto Casa Da Cidade,,Organización civil sin fines de lucro (ONG),http://www.casadacidade.org.br/,2000,,
bondiar,Bondiar,,Empresa privada (startup),No Tenemos https://www.facebook.com/BondiarMeGusta/,2015,,
todos-pela-educacão,Todos Pela Educação,,Organización civil sin fines de lucro (ONG),www.todospelaeducacao.org.br,2006,,
periodico-el-faro,Periódico El Faro,,Empresa privada (no incluye startup),elfaro.net,1998,,
instituto-salvadoreno-de-desarrollo-municipal-instituto-salvadoreno-de-desarrollo-municipal-isdem,"Instituto Salvadoreño De Desarrollo Municipal,Instituto Salvadoreño De Desarrollo Municipal (Isdem)",,Otro,http://www.isdem.gob.sv,1987,,
centro-nacional-memoria-historica,Centro Nacional de Memoria Histórica,"Su objetivo principal es reunir y recuperar todo el material documental, testimonios orales y por cualquier otro medio relativos a las violaciones de que trata el artículo 147 de la Ley de Víctimas y restitución de Tierras.",,http://www.centrodememoriahistorica.gov.co/,2011,https://www.facebook.com/memoriahistorica,https://twitter.com/CentroMemoriaH
how-to-build-up,How To Build Up,,Empresa privada (no incluye startup),http://howtobuildup.org,2014,,
centro-profesional-indigena-de-asesoria-defensa-y-traduccion-a-c,"Centro Profesional Indígena De Asesoría, Defensa Y Traducción A.C.",,Organización civil sin fines de lucro (ONG),Cepiadet.org,2005,,
factico,Fáctico,Crean tecnología para promover la libertad de expresión y la participación ciudadana.,,https://www.factico.com.mx/,,https://www.facebook.com/FACTICO.MX/,https://twitter.com/factico_mx?lang=es
semana,Revista Semana,Semana es una revista colombiana de política y actualidad. ,,https://www.semana.com/,,https://es-la.facebook.com/RevistaSemana/,https://twitter.com/RevistaSemana?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
cicatal,Cicatal,,Empresa privada (no incluye startup),,,,
alampyme-br-associacão-latinoamericana-de-micro-pequenas-e-medias-empresas-capitulo-brasil,"Alampyme Br - Associação Latinoamericana De Micro, Pequenas E Médias Empresas Capítulo Brasil",,Organización civil sin fines de lucro (ONG),www.alampymebr.org.br,2011,,
camaleon-multimedia-sas,Camaleon Multimedia Sas,,Empresa privada (no incluye startup),www.camaleon.com.co,1996,,
comunidades-de-software-libre,Comunidades De Software Libre,,Otro,,,,
somos-mas,Somos Más,Es una corporación que surge con el propósito de activar la inteligencia colectiva en ecosistemas sociales.,,https://somosmas.org/,2001,https://www.facebook.com/corpsomosmas/,https://twitter.com/somosmas?lang=es
instituto-phomenta,Instituto Phomenta,,Organización civil sin fines de lucro (ONG),www.phomenta.org,2015,,
fundacion-construir,Fundación Construir,,Organización civil sin fines de lucro (ONG),www.fundacionconstruir.org,2009,,
movimento-nossa-bh,Movimento Nossa Bh,,Organización civil sin fines de lucro (ONG),nossabh.org.br,2008,,
fundacion-encuentro-para-la-participacion-ciudadana-y-la-ampliacion-de-derechos,Fundación Encuentro para la participación ciudadana y la ampliación de derechos,,,En construcción,2016,,
universidad-rafael-landivar,Universidad Rafael Landivar,,Universidad/Instituto de investigación,,,,
solvo,Solvo,,Empresa privada (startup),www.solvosoft.com,2014,,
ninja-ladobe,"Ninja,Ladobe",,Otro,,,,
asociacion-transporte-ativo,Asociación Transporte Ativo,,Organización civil sin fines de lucro (ONG),ta.org.br,2003,,
econsulting-s-r-l,Econsulting S.R.L.,,Empresa privada (no incluye startup),www.econsultingsistemas.com,2011,,
saber-votar,Saber votar,,,,,,
servicios-de-ideas-creativas-para-el-desarrollo-de-organizaciones-a-c,"Servicios De Ideas Creativas Para El Desarrollo De Organizaciones, A.C.",,Organización civil sin fines de lucro (ONG),www.sicdos.org.mx,2013,,
asi-asesores-para-la-inversion-social,Asi - Asesores Para La Inversión Social,,Empresa privada (no incluye startup),www.aisocial.com.mx,2010,,
tus-datos,tusdatos.co,Es una plataforma digital que permite conocer la información relacionada con la cédula para tomar mejores decisiones. A través de un reporte personalizado.,,https://www.tusdatos.co/,2012,https://www.facebook.com/tusdatosco/,https://twitter.com/tusdatosco
el-pais-col,El País,Medio de comunicación colombiano,,https://www.elpais.com.co/,,https://www.facebook.com/diarioelpaiscali/,https://twitter.com/elPaiscali
usocial-maps,Usocial Maps,,Empresa privada (startup),www.usocialmaps.com,2016,,
hacks-hackers-bogota,Hacks/Hackers Bogota,,Otro,,,,
hacklab-asuncion,Hacklab Asunción,,Otro,,,,
lima-i-o,lima-i-o,,,,,,
flip,Fundación para la Libertad de Prensa,Es una organización no gubernamental que defiende la libertad de expresión y promueve un clima óptimo para que quienes ejercen el periodismo puedan satisfacer el derecho de quienes viven en Colombia a estar informados.,,https://flip.org.co/index.php/es/,,https://www.facebook.com/FlipCol/?fref=ts,https://twitter.com/FLIP_org
convoca,Convoca,"Es un equipo de reporteros, analistas de datos y desarrolladores que surge en la búsqueda de una nueva forma de hacer periodismo en Perú.",,http://convoca.pe/,2015,https://www.facebook.com/convoca,https://twitter.com/ConvocaPe
fundacion-ciudadana-civio,Fundación Ciudadana Civio,,Organización civil sin fines de lucro (ONG),www.civio.es,2012,,
instituto-humanista-de-cooperacion-para-el-desarrollo-hivos,Instituto Humanista De Cooperación Para El Desarrollo - Hivos,,Organización civil sin fines de lucro (ONG),www.hivos.org.gt,2010,,
la-silla-vacia,La Silla Vacía,"Medio digital alternativo de comunicación en Colombia, realiza investigación basadas en datos.",,https://lasillavacia.com/,,https://www.facebook.com/memoriahistorica,https://twitter.com/CentroMemoriaH
soluntia-sa,Soluntia Sa,,Empresa privada (no incluye startup),www.dyntra.org,2014,,
associacão-todos-por-um-tp1,Associação Todos por Um (Tp1),,Organización civil sin fines de lucro (ONG),www.tp1.com.br,2016,,
red-infodesarrollo,Red Infodesarrollo,,Organización civil sin fines de lucro (ONG),www.infodesarrollo.ec,2008,,
13-media-sc,13 Media Sc,,Empresa privada (startup),,2004,,
vigilamos,Vigilamos,,,vigilamos.io,2015,,
iniciativa,iniciativa,,,,,,
observatorio-nuevos-medios,Observatorio Nuevos Medios,"Es un censo vivo de nuevos medios en lengua española que estan clasificados a nivel internacional, por temáticas y geolocalizados para detectar zonas de influencia.",,http://www.nuevosmedios.es/,2015,https://www.facebook.com/losnuevosmedios/,https://twitter.com/LosNuevosMedios
lndata,LNData,,,http://www.lanacion.com.ar/data,2010,,
fgx,Fgx,,Empresa privada (startup),,2006,,
centro-de-lideranca-publica,Centro De Liderança Pública,,Organización civil sin fines de lucro (ONG),www.clp.org.br,2008,,
olhoneles,Olhoneles,,,,,,
associacão-software-livre-org,Associação Software Livre.Org,,Organización civil sin fines de lucro (ONG),asl.org.br,2003,,
hiperderecho,Hiperderecho,,Organización civil sin fines de lucro (ONG),www.hiperderecho.org,2013,,
derive-lab,Derive Lab,,Organización civil sin fines de lucro (ONG),,,,
taturana-mobilizacão-social,Taturana Mobilização Social,,Organización civil sin fines de lucro (ONG),www.taturanamobi.com.br,2014,,
forum-brasileiro-de-seguranca-publica,Fórum Brasileiro De Segurança Pública,,Organización civil sin fines de lucro (ONG),www.forumseguranca.org.br,2006,,
mas-cultura-independiente,"Mas Cultura,Independiente",,Organización civil sin fines de lucro (ONG),,,,
prosas-tecnologia-social-ltda,Prosas Tecnologia Social Ltda,,,www.prosas.com.br,2014,,
laboratorio-de-medios,Laboratorio de Medios,"La esencia de Laboratorio de Medios, S.A. es periodismo tanto en medios impresos, radiales, televisivos como en digitales.",,http://labmedios.com/,,,
vivero-de-iniciativas-ciudadanas,Vivero De Iniciativas Ciudadanas,,,www.viveroiniciativasciudadanas.net | www.civics.cc,2015,,
committee-for-a-better-new-orleans-comite-por-una-mejor-nueva-orleans,Committee For A Better New Orleans/Comité Por Una Mejor Nueva Orleans,,Organización civil sin fines de lucro (ONG),cbno.org,1971,,
artnumerica,Artnumerica,,Empresa privada (startup),artnumerica.info,2015,,
datos-concepcion,Datos Concepcion,,Empresa privada (startup),www.datosconcepcion.com.ar,2014,,
open-knowledge-foundation,Open Knowledge Foundation,,,,,,
agrupacion-biosfera,Agrupación Biósfera,,Organización civil sin fines de lucro (ONG),,2008,,
red-aceleradora-global,Red Aceleradora Global,,Empresa privada (startup),no existe aún,2017,,
el-caracol,El Caracol,,Otro,,,,
centro-de-promocion-en-salud-y-asistencia-familiar-ceprosaf,Centro De Promoción En Salud Y Asistencia Familiar (Ceprosaf),,Organización civil sin fines de lucro (ONG),www.ceprosaf.org,1994,,
zapopan-lab,Zapopan Lab,,Organización civil sin fines de lucro (ONG),http://datamx.io/organization/zapopan-lab,2012,,
olinguito,Olinguito,,Otro,,,,
ecosocial-consultores-s-a-s,Ecosocial Consultores S.A.S,,Empresa privada (no incluye startup),www.ecosocialconsultores.com,2013,,
ieepp,Instituto de Estudios Estratégicos y Políticas Públicas,"El Ieepp publica sistemáticamente análisis sobre políticas públicas vinculadas a gobernabilidad, seguridad e inclusión social.",,https://www.ieepp.org/,2004,https://www.facebook.com/ieepp/,
medialab-quito,Medialab Quito,,,www.medialabuio.org,2015,,
conceptu-prototipos-e-sistemas,Conceptu Protótipos E Sistemas,,Empresa privada (startup),conceptu.ind.br,2017,,
appcivico,AppCívico,"AppCívico desenvolve plataformas tecnológicas sob medida para aprimorar a gestão pública, aumentar a eficiência e a transparência",,https://appcivico.com/pt/,2012,https://es-la.facebook.com/pg/AppCivicoCSB/about/?ref=page_internal,https://twitter.com/appcivico?lang=es
cuentas-claras,Cuentas claras,"Esta herramienta permite el acceso público a información sobre financiamiento, facilitando el monitoreo y análisis del origen, monto y destinación de los recursos de campañas.",,http://www.cnecuentasclaras.com/,,,https://twitter.com/suscuentas?lang=es
hormiga-investigacion,Hormiga Investigación,,Empresa privada (no incluye startup),http://www.hormiga-investigacion.com/,2009,,
instituto-ilhabela-sustentavel,Instituto Ilhabela Sustentável,,Organización civil sin fines de lucro (ONG),www.iis.org.br,2007,,
equis-mx,Equis: justicia para las mujeres,"Es una organización feminista que desde 2011 busca transformar las instituciones, leyes y políticas públicas para mejorar el acceso a la justicia para todas las mujeres.",,http://equis.org.mx/,2011,https://www.facebook.com/EquisJusticia/,https://twitter.com/equisjusticia?lang=es
fundacion-ideas-para-la-paz,Fundacion Ideas Para La Paz,Busca contribuir a la construcción de una paz estable y duradera en Colombia.,Otro,http://www.ideaspaz.org/,1999,,
ministerio-de-economia,ministerio-de-economia,,,,,,
associacão-forum-suapoe-espaco-socioambiental,Associação Fórum Suapoe Espaço Socioambiental,,Organización civil sin fines de lucro (ONG),www.forumsuape.ning.com,2011,,
project-on-organizing-development-education-and-research-poder,"Project on Organizing, Development, Education, and Research (PODER)",,,projectpoder.org,2010,,
fundacion-despacio,Fundación Despacio,Promover la calidad de vida en ciudades a través de la investigación aplicada.,,http://www.despacio.org/,2008,,
lima-como-vamos,Lima Cómo Vamos,,Organización civil sin fines de lucro (ONG),http://www.limacomovamos.org/,2010,,
techo-internacional-oficina-central,Techo Internacional (oficina central),,,www.techo.org,1997,,
grupo-faro-america-latina-y-el-caribe,Grupo FARO América Latina y el Caribe,,,www.grupofaro.org,2014,,
corresponsales,Corresponsales,,,,,,
duran-asociados-spa,Durán & Asociados Spa.,,Empresa privada (startup),www.horasalud.cl,2013,,
gobierno-de-panama,Gobierno De Panamá,,Gobierno,,,,
derecho-ambiente-y-recursos-naturales,"Derecho, Ambiente Y Recursos Naturales",,Organización civil sin fines de lucro (ONG),http://www.dar.org.pe/,2004,,
plataforma-nuup-ac,Plataforma Nuup Ac,,Organización civil sin fines de lucro (ONG),http://www.nuup.co/,2015,,
g1,G1,La G1 es un portal de noticias brasileño mantenido por Globo.com y bajo orientación de la Central Globo de Periodismo.,,https://g1.globo.com/,2006,https://es-la.facebook.com/g1/,https://twitter.com/g1?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
rancho-electronico,Rancho Electronico,,Otro,,,,
sembra-media,SembraMedia,"Es una organización que forma a periodistas digitales, emprendedores y curiosos que necesitan herramientas para sustentar el desarrollo y crecimiento de sus contenidos digitales de calidad. Por otro lado, han formado un directorio de comunidad de medios nativos digitales independientes, que tiene como misión apoyar a emprendedores a crecer y a sostenerse impulsando intercambios y experiencias innovadoras.",,https://www.sembramedia.org/,2015,https://www.facebook.com/sembramedia/,https://twitter.com/sembramedia?lang=es
centro-de-estudos-avancados-de-promocão-social-e-ambiental-ceaps-projeto-saude-alegria,Centro De Estudos Avançados De Promoção Social E Ambiental - Ceaps / Projeto Saúde & Alegria,,Organización civil sin fines de lucro (ONG),www.saudeealegria.org.br,1987,,
guatecambia,Guatecambia,Es una organización no gubernamental y sin ánimo de lucro que busca la democracia participativa en Guatemala por medio de la transparencia y la participación ciudadana a través de la tecnología.,,http://www.guatecambia.org.gt,2011,https://www.facebook.com/guate.cambia,https://twitter.com/guatecambia
fundacion-para-el-desarrollo-de-politicas-sustentables-fundeps,Fundación Para El Desarrollo De Políticas Sustentables (Fundeps),,Organización civil sin fines de lucro (ONG),www.fundeps.org,2009,,
laboratorio-de-inovacão-e-controle-no-setor-publico-da-universidade-federal-do-para,Laboratório De Inovação E Controle No Setor Público Da Universidade Federal Do Pará,,Universidad/Instituto de investigación,www.portal.ufpa.br,2014,,
softex,Softex,,Empresa privada (startup),,,,
guarumo,Guarumo,,Empresa privada (no incluye startup),www.guarumo.com,2012,,
pictorica-comunicacoes-s-c-ltda,Pictórica Comunicações S/C Ltda,,Empresa privada (no incluye startup),www.enspiral.com,2002,,
c230,C230,,Empresa privada (no incluye startup),www.c-230.com,2009,,
causa-natura,Causa Natura,,Organización civil sin fines de lucro (ONG),www.causanatura.org,2014,,
grupo-limonta,Grupo Limonta,,Empresa privada (no incluye startup),www.limap.pe,2014,,
180data,180Data,,Otro,,,,
promec-projetos-e-modelagens-em-engenharia-e-computacão-ltda,Promec Projetos E Modelagens Em Engenharia E Computação Ltda,,Empresa privada (startup),http://www.promecgroup.com/,2009,,
plataforma-ciudadana-inteligente,Plataforma Ciudadana Inteligente,,Empresa privada (startup),www.citiviva.com,2015,,
connectas,Connectas,"Es una organización periodistica sin ánimo de lucro que promueve la producción, la capacitación y el intercambio de información sobre temas relevantes para el desarrollo de las Américas.",,https://www.connectas.org/,2012,https://www.facebook.com/CONNECTAS/,https://twitter.com/ConnectasOrg?lang=es
mas-cultura,mas-cultura,,,,,,
