org_uid,org_name,proj_uid,proj_name
colaboratorio-de-desenvolvimento-e-participacão-universidade-de-são-paulo,"Colaboratório De Desenvolvimento E Participação, Universidade De São Paulo",cuidando-e-monitorando-a-cidade,Cuidando E Monitorando A Cidade
observatorio-social-de-são-jose-ossj,Observatório Social De São José (Ossj),sistema-de-avaliacão-dos-portais-de-transparencia-dos-governos-municipais,Sistema De Avaliação Dos Portais De Transparência Dos Governos Municipais
ojo-con-mi-pisto,Ojo con mi Pisto,40-alcaldias-lupa,40 Alcaldías bajo la lupa
corporacion-prodepaz,Corporación Prodepaz,sistema-de-informacion-territorial-prodepaz,
corporacion-prodepaz,Corporación Prodepaz,"sistema-de-informacion-territorial-prodepaz,observadores-de-comunicacion-ciudadana","Sistema De Información Territorial Prodepaz,Observadores De Comunicación Ciudadana"
softai,Softai,chapi-poder-ciudadano,Chapi - Poder Ciudadano
data-uruguay,Data Uruguay,quesabes-uy,Quesabes.Uy
data-uruguay,Data Uruguay,data-uy,Data Uy
data-uruguay,Data Uruguay,por-mi-barrio,Por Mi Barrio
data-uruguay,Data Uruguay,dal,Dal
data-uruguay,Data Uruguay,mutualistas-uy,Mutualistas.Uy
data-uruguay,Data Uruguay,reporta-ciudad,Reporta Ciudad
data-uruguay,Data Uruguay,bicentenario-uruguay,Bicentenario Uruguay
data-uruguay,Data Uruguay,plataforma-educacion-nombre-de-trabajo,Plataforma Educación (Nombre De Trabajo)
oeste-mx,Oeste.Mx,oeste-mx,Oeste.Mx
instituto-educadigital,Instituto Educadigital,iniciativa-educacão-aberta-brasil,Iniciativa Educação Aberta Brasil
corporacion-red-somos,Corporación Red Somos,gagpol-colombia,Gagpol Colombia
hacks-hackers,Hacks Hackers,sin-nombre,Sin Nombre
hacks-hackers,Hacks Hackers,hack-hakers-la-paz,Hack Hakers La Paz
democracia-digital,Democracia Digital,democraciadigital-peru,Democraciadigital Peru
comite-para-la-democratizacion-de-la-informatica-cdi-colombia,Comite Para La Democratización De La Informatica. Cdi Colombia,sistema-de-alerta-inmediata-para-proteccion-a-mujeres-en-riesgo-de-agresion-violenta,Sistema De Alerta Inmediata Para Protección A Mujeres En Riesgo De Agresión Violenta
protrash,Protrash,protrash,Protrash
elleven,Elleven,analise-da-governanca-de-ti-em-orgãos-publicos-identificacão-dos-indices-de-alinhamento-por-orgão-a-partir-de-uma-plataforma-mobile,Análise Da Governança De Ti Em Órgãos Públicos: Identificação Dos Índices De Alinhamento Por Órgão A Partir De Uma Plataforma Mobile
cide,Cide,biiacs,Biiacs
cide,Cide,sin-nombre,Sin Nombre
fundacion-naturaleza-para-el-futuro-funafu,Fundación Naturaleza Para El Futuro (Funafu),red-social-de-sustentabilidad,Red Social De Sustentabilidad
diario-de-pernambuco,Diario de Pernambuco,machismo-no-futebol,Impedidas: machismo e violencia no futebol
universidad-nacional-vivelab,Universidad Nacional (Vivelab),asamblea,Asamblea
observatorio-del-gasto-fiscal-via-fundacion-contexto-ciudadano,Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,gasto-amigable-municipal,Gasto Amigable Municipal
observatorio-del-gasto-fiscal-via-fundacion-contexto-ciudadano,Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,compras-publicas,Compras Públicas
ine-mx,Institución Nacional de Estadística y Geografía,rendicion-cuentas-mx,Rendición de cuentas y resultados de fiscalización
grupo-faro,Grupo Faro,comunidas-2-0,Comunidas 2.0
tedic,Tedic,data-boot-camp,DATABOOTCAMP
tedic,Tedic,parlamento-abierto-py,Parlamento Abierto Py
tedic,Tedic,tedic,Tedic
tedic,Tedic,quien-defiende-tus-datos,¿Quién defiende tus datos?
tedic,Tedic,hacia-el-empoderamiento-de-nuestros-derechos-digitales-a-traves-de-la-participacion-ciudadana-y-el-debate-publico,Hacia El Empoderamiento De Nuestros Derechos Digitales A Través De La Participación Ciudadana Y El Debate Público.
chequeado,Chequeado,a-que-precio-un-observatorio-de-compras-publicas,A Qué Precio: Un Observatorio De Compras Públicas
chequeado,Chequeado,a-que-precio,A qué precio
chequeado,Chequeado,dato-duro-el-salvador,Dato Duro El Salvador
chequeado,Chequeado,chequeado,Chequeado
chequeado,Chequeado,a-que-precio-un-observatorio-de-compras-publicas,
chequeado,Chequeado,dato-duro,Dato Duro
centro-de-formacão-e-organizacão-comunitaria-ceforc,Centro De Formação E Organização Comunitária - Ceforc,incentivo-a-cultura-digital,Incentivo A Cultura Digital
cultivando-futuro,Cultivando Futuro,cultivando-futuro,Cultivando Futuro
calhau-social,Calhau Social,calhau-social,Calhau Social
fundamedios,Fundamedios,ecuador-chequea,Ecuador Chequea
animal-politico,Animal Político,derroche-por-la-democracia,Derroche por la democracia: así se tira tu dinero
animal-politico,Animal Político,62-pecados-estado-laico,Los 62 pecados del Estado laico
animal-politico,Animal Político,10-de-guerra,10 Años de guerra
animal-politico,Animal Político,verificado,Verificado
animal-politico,Animal Político,narcodata,NarcoData
animal-politico,Animal Político,matar-en-mexico,Matar en México: Impunidad garantizada
animal-politico,Animal Político,indigenas-salud,Indígenas y Salud
animal-politico,Animal Político,menores-migrantes,Menores Migraciones: México cierra la puerta a una generación que huye de la violencia
animal-politico,Animal Político,violencia-no-normal,La violencia contra las mujeres (no) es normal
animal-politico,Animal Político,prometo-como-eruviel,Las promesas de Eruvial
animal-politico,Animal Político,mexico-desigual,"México Desigual, la riqueza que (NO) me toca"
animal-politico,Animal Político,salud-chiapas,Salud en Chiapas: Solo para la foto
animal-politico,Animal Político,el-sabueso,El Sabueso
animal-politico,Animal Político,red-karime-duarte,"Con Karime al frente, el DIF-Veracruz entregó más de 415 millones a red de 33 empresas fantasma"
animal-politico,Animal Político,estafa-maestra,"La estafa maestra, graduados en desaparecer dinero público"
animal-politico,Animal Político,segundo-piso-puebla,"Segundo piso de Puebla, una promesa costosa e irregular"
fundacion-grupo-civico-etica-y-transparencia-eyt,Fundación Grupo Cívico Ética Y Transparencia (Eyt),mapa-civico-nicaragua,Mapa Cívico Nicaragua
centro-de-investigacion-economica-y-presupuestaria-a-c,Centro De Investigación Económica Y Presupuestaria A.C.,tu-dinero-tu-gobierno,"Tu Dinero, Tu Gobierno"
ideales-soluciones-sociales,Ideales Soluciones  Sociales,proyecto-de-integracion-comunitaria,Proyecto  De  Integracion  Comunitaria
universidad-de-santiago-de-chile-facultad-de-administracion-y-economia,"Universidad De Santiago De Chile, Facultad De Administración Y Economía",gasto-amigable-municipal,Gasto Amigable Municipal
universidad-de-santiago-de-chile-facultad-de-administracion-y-economia,"Universidad De Santiago De Chile, Facultad De Administración Y Economía",compras-publicas,Compras Públicas
universidad-de-santiago-de-chile-facultad-de-administracion-y-economia,"Universidad De Santiago De Chile, Facultad De Administración Y Economía",observatorio-del-gasto-fiscal,Observatorio Del Gasto Fiscal
fgv-ceapg-centro-de-estudos-em-administracão-publica-e-governo-da-escola-de-administracão-de-empresas-da-fundacão-getulio-vargas,Fgv.Ceapg - Centro De Estudos Em Administração Pública E Governo Da Escola De Administração De Empresas Da Fundação Getulio Vargas,sagui-sistema-de-escucha-monitoreo-y-alerta-sobre-riesgos-y-impactos-de-grandes-emprendimientos-en-los-derechos-de-las-comunidades-locales,"Sagui: Sistema De Escucha, Monitoreo Y Alerta Sobre Riesgos Y Impactos De Grandes Emprendimientos En Los Derechos De Las Comunidades Locales"
observatorio-do-recife,Observatório Do Recife,mobilidade-urbana-aberta,
observatorio-do-recife,Observatório Do Recife,mobilidade-urbana-aberta,Mobilidade Urbana Aberta
centro-de-estudios-ambientales-y-sociales-ceamso,Centro De Estudios Ambientales Y Sociales (Ceamso),presupuesto-participativo,Presupuesto Participativo
geleia-mob,Geleia .Mob,todos-por-um-tp1,Todos Por Um (Tp1)
geleia-mob,Geleia .Mob,"todos-por-um-tp1,associacão-todos-por-um-tp1","Todos Por Um (Tp1),Associação Todos Por Um  (Tp1)"
geleia-mob,Geleia .Mob,associacão-todos-por-um-tp1,
investigacion-e-innovacion-factual-a-c,"Investigación E Innovación Factual, A.C.",primera-unidad-latinoamericana-de-periodismo-de-datos,Primera Unidad Latinoamericana De Periodismo De Datos
asuntos-del-sur,Asuntos Del Sur,sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,Sistema De Gestión De Proyectos De Inversión De La Provincia De Río Negro
coordinadora-nacional-de-derechos-humanos,Coordinadora Nacional De Derechos Humanos,mapa-de-criminalizacion-de-la-protesta,Mapa De Criminalizacion De La Protesta
eokoe-soluções-tecnologicas-ltda,EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,appcivico-mandato-aberto-e-voto-legal,
asociacion-colectiva-para-la-defensa-de-los-derechos-de-las-mujeres-en-guatemala,Asociación Colectiva Para La Defensa De Los Derechos De Las Mujeres En Guatemala,la-tecnologia-un-reto-para-el-avance-tecnico-y-politico-de-las-funcionarias-municipales,"La Tecnologia, Un Reto Para El Avance Técnico Y Político De Las Funcionarias Municipales."
ojo-al-voto,Ojo Al Voto,ojo-al-voto,Ojo Al Voto
fundacion-mapocho,Fundación Mapocho,banca-etica-latinoamerica,Banca Ética Latinoamérica
consejo-civico-de-instituciones-de-nuevo-leon-a-c,"Consejo Cívico De Instituciones De Nuevo León, A.C.",plataforma-de-visualizacion-de-plan-de-metas-de-nuevo-leon,Plataforma De Visualización De Plan De Metas De Nuevo León
presidencia,Presidencia,od500mx,Od500Mx.
presidencia,Presidencia,estrategia-digital-nacional-de-datos-abiertos,Estrategia Digital Nacional De Datos Abiertos
visual-reporting-technologies-s-de-r-l-de-c-v,"VISUAL REPORTING TECHNOLOGIES, S. DE R.L. DE C.V.",obra-chueca,
visual-reporting-technologies-s-de-r-l-de-c-v,"VISUAL REPORTING TECHNOLOGIES, S. DE R.L. DE C.V.",obra-chueca,Obra Chueca
visual-reporting-technologies-s-de-r-l-de-c-v,"VISUAL REPORTING TECHNOLOGIES, S. DE R.L. DE C.V.",observatorio-de-prisiones,
ilhasoft,Ilhasoft,ilhapush,Ilhapush
subsidios-claros,Subsidios Claros,portal-de-transparencia-de-gastos-de-gobiernos-locales-subnacionales-engage-civico,Portal De Transparencia De Gastos De Gobiernos Locales (Subnacionales) + Engage Cívico
caritas-brasileira-regional-nordeste-ii,Cáritas Brasileira Regional Nordeste Ii,social-games-energia-eolica-energia-limpia-para-quien,Social Games: Energía Eólica: Energía Limpia Para Quién?
gana-nariño,GANA - Gobierno Abierto de Nariño,gana-pienso,Gana Pienso
gana-nariño,GANA - Gobierno Abierto de Nariño,le-tengo-el-dato,Le Tengo El Dato
gana-nariño,GANA - Gobierno Abierto de Nariño,gana-control,Gana Control
gana-nariño,GANA - Gobierno Abierto de Nariño,gana-datos,Portal de Datos Abierto de Nariño
sociedad-en-movimiento-ac,"Sociedad En Movimiento, Ac",click-social,Click Social
fundacion-ciencias-de-la-documentacion,Fundación Ciencias De La Documentación,tecnologia-social,Tecnología Social
xue-colombia-ltda,Xue Colombia Ltda,burocratas,Burocratas
centro-universitario-de-belo-horizonte-unibh-anima-educacion,Centro Universitario de Belo Horizonte - UniBh / ANIMA Educación,desenvolvimento-de-tecnologia-verde-na-produção-de-energia-termica-com-impacto-global-significativo-na-matriz-energetica,
universidad-de-chile-facultad-de-ciencias-fisicas-y-matematicas-departamento-de-ingenieria-industrial-centro-de-investigacion-en-inteligencia-de-negocios-ceine,"Universidad De Chile, Facultad De Ciencias Físicas Y Matemáticas, Departamento De Ingeniería Industrial, Centro De Investigación En Inteligencia De Negocios (Ceine)",compras-publicas,Compras Públicas
municipalidad-de-rosario-secretaria-de-economia-social-direccion-general-de-desarrollo-de-la-economia-social,"Municipalidad De Rosario, Secretaria De Economia Social, Dirección General De Desarrollo De La Economía Social",la-vidriera-del-emprendedor,La Vidriera Del Emprendedor
centro-de-investigaciones-y-estudios-en-antropologia-social,Centro De Investigaciones Y Estudios En Antropología Social,plataforma-pro-municipio,Plataforma Pro Municipio
nucleo-de-informacão-e-coordenacão-do-ponto-br-nic-br,Núcleo De Informação E Coordenação Do Ponto Br - Nic.Br,cidades-transparentes-inovacões-a-partir-de-dados-abertos,Cidades Transparentes: Inovações A Partir De Dados Abertos
cocidade,Cocidade,synchronicity,Synchronicity
krieger-electronics-de-mexico-sa-de-cv,Krieger Electronics De Mexico Sa De Cv,desarrollo-de-un-sistema-de-inteligencia-artificial-para-el-analisis-de-oportunidades-de-inversion-y-mejora-en-el-transporte-publico-concesionado,Desarrollo De Un Sistema De Inteligencia Artificial Para El Análisis De Oportunidades De Inversión Y Mejora En El Transporte Público Concesionado
krieger-electronics-de-mexico-sa-de-cv,Krieger Electronics De Mexico Sa De Cv,identidad-digital-a-traves-de-blockchain-para-la-reduccion-de-falsificacion-y-corrupcion,Identidad Digital A Través De Blockchain Para La Reducción De Falsificación Y Corrupción
the-next-services,The Next Services,mi-historial-medico,Mi Historial Médico
mexico-informate,México Infórmate,mexico-informate,Mexico Informate
impaqto,Impaqto,mi-emprendimiento-abierto,Mi Emprendimiento Abierto
malalai-tecnologia-de-seguranca-ltda,Malalai Tecnologia De Segurança Ltda,malalai,Malalai
centro-tecnologico-ctc,Centro Tecnológico (Ctc),sistema-de-gestão-de-ideias-para-seguranca-publica,Sistema De Gestão De Ideias Para Segurança Pública
sociedad-civil-abriendo-datos-costa-rica,Sociedad Civil Abriendo Datos Costa Rica,atisbando-el-bus,Atisbando El Bus
sociedad-civil-abriendo-datos-costa-rica,Sociedad Civil Abriendo Datos Costa Rica,tour-virtual-de-parques-nacionales-de-costa-rica,Tour Virtual De Parques Nacionales De Costa Rica
uniandes,Uniandes,congreso-visible,Congreso Visible
uniandes,Uniandes,infraestructura-visible,Infraestructura Visible
associacão-brasileira-de-jornalismo-investigativo,Associação Brasileira De Jornalismo Investigativo,datascopio-e-cruza-dados,Datascópio E Cruza Dados
data-uy,Data UY,por-mi-barrio,Por mi barrio
data-uy,Data UY,plataforma-educacion,Plataforma Educación
data-uy,Data UY,que-sabes,¿Qué sabes?
data-uy,Data UY,a-tu-servicio,A tu servicio
jota-info,O JOTA.info,lava-jota,Lava Jota
tercera-cumbre-ciudadana,tercera-cumbre-ciudadana,tercera-cumbre-ciudadana,Tercera Cumbre Ciudadana
veeduria-distrital-de-bogota-veeduria-delegada-para-la-contratacion,"Veeduria Distrital De Bogotá, Veeduría Delegada Para La Contratación",veedor-de-obras,Veedor De Obras
centro-de-estudios-para-la-equidad-y-gobernanza-en-los-sistemas-de-salud-cegss,"Centro De Estudios Para La Equidad Y Gobernanza En Los Sistemas De Salud, Cegss",plataforma-de-vigilancia-ciudadana,Plataforma De Vigilancia Ciudadana
fundacion-desarrollo-social-lealtad-chile,Fundación Desarrollo Social Lealtad Chile,promocion-de-buenas-practicas-de-gestion-y-transparencia-en-organizaciones-sin-fines-de-lucro,Promoción De Buenas Prácticas De Gestión Y Transparencia En Organizaciones Sin Fines De Lucro
o-instituto-ambiental,O Instituto Ambiental,gestion-del-arbolado-urbano,Gestión Del Arbolado Urbano
pontificia-universidad-catolica-del-peru,Pontificia Universidad Católica Del Perú,repositorios-digitales-abiertos-en-sistemas-de-transporte-publico-para-promocion-del-acceso-a-informacion-y-transparencia,Repositorios Digitales Abiertos En Sistemas De Transporte Público Para Promoción Del Acceso A Información Y Transparencia
fundacion-base-publica,Fundación Base Pública,plataforma-de-participacion,Plataforma De Participación
ada,Ada,concursos-transparentes,Concursos Transparentes
ada,Ada,sin-nombre,Sin Nombre
quartz,Quartz,syphilis-is-on-the-rise-because-penicillin-isnt-profitable,"Global penicillin shortages are bringing back old diseases, and creating new, deadlier ones"
delpuerto-comunicaciones,Delpuerto Comunicaciones,municipio-transparente-y-participativo,Municipio Transparente Y Participativo
comunicacion-corporativa-de-centroamerica,Comunicación Corporativa De Centroamérica,comoayudo-org,Comoayudo.Org
gafit-solucões-em-automacão-ltda-me,Gafit Soluções Em Automação Ltda - Me,rio-doce-ativo,Rio Doce Ativo
cooperativa-aca-comunicaciones,Cooperativa Acá Comunicaciones,ojovaldivia-cl-denuncia-y-articulacion-ciudadana-en-linea,Ojovaldivia.Cl Denuncia Y Articulación Ciudadana En Línea
acecci-associacão-cearense-de-combate-a-corrupcão-e-a-impunidade,Acecci - Associação Cearense De Combate À Corrupção E À Impunidade,plataforma-cidadã,Plataforma Cidadã
acecci-associacão-cearense-de-combate-a-corrupcão-e-a-impunidade,Acecci - Associação Cearense De Combate À Corrupção E À Impunidade,plataforma-cidadã,
instituto-de-estudios-del-trabajo-inet,Instituto De Estudios Del Trabajo -Inet-,migranet-respaldo,Migranet-Respaldo
ea-tech,Ea Tech,petgram,Petgram
instituto-demos,Instituto Demos,el-uso-de-las-tics-para-el-desarrollo-social,El Uso De Las Tics Para El Desarrollo Social
mapas-coletivos,Mapas Coletivos,mapas-coletivos,Mapas Coletivos
centro-bicicultura,Centro Bicicultura,bicimapa-app,Bicimapa App
dtlnet-ltda,Dtlnet Ltda.,informacion-inclusiva-y-participativa-para-todos,Información Inclusiva Y Participativa Para ¨Todos¨
faculdade-latino-americana-de-ciencias-sociais-flacso,Faculdade Latino-Americana De Ciências Sociais (Flacso),plataforma-brasil-compra-cidadão-fiscaliza,Plataforma Brasil Compra & Cidadão Fiscaliza
corporacion-control-social-colombia,Corporación Control Social Colombia,monitor-ciudadano,Monitor Ciudadano
explico-s-a,"Explico, S.A.",micongreso,Micongreso
fundacion-biciaccion,Fundación Biciacción,laboratorio-de-movilidad,Laboratorio De Movilidad
fundacion-conocimiento-abierto,Fundación Conocimiento Abierto,"analisis-de-portales-de-datos-abiertos-gubernamentales,analisis-de-portales-de-datos-abiertos-gubernamentales-segunda-carga-con-la-metodologia-en-la-anterior-aplicacion-no-la-llegamos-a-cargar","Análisis De Portales De Datos Abiertos Gubernamentales,Análisis De Portales De Datos Abiertos Gubernamentales (Segunda Carga Con La Metodología. En La Anterior Aplicación No La Llegamos A Cargar)"
fundacion-conocimiento-abierto,Fundación Conocimiento Abierto,yo-voto-informado,Yo voto informado
fundacion-conocimiento-abierto,Fundación Conocimiento Abierto,herramienta-para-diseno-gestion-y-diagnostico-de-estrategia-para-gobiernos-locales-abiertos,"Herramienta Para Diseño, Gestión Y Diagnóstico De Estrategia Para Gobiernos Locales Abiertos"
universidad-industrial-de-santander,Universidad Industrial De Santander,red-ciudadana-de-monitoreo-de-la-calidad-del-aire,Red Ciudadana De Monitoreo De La Calidad Del Aire
cedaps-centro-de-promoção-da-saude,CEDAPS - CENTRO DE PROMOÇÃO DA SAÚDE,mapa-falante-tecnologia-civica-para-monitoramento-participativo-de-informacões-sobre-servicos-dados-e-vivencias,
cainfo,Cainfo,"analisis-de-portales-de-datos-abiertos-gubernamentales,analisis-de-portales-de-datos-abiertos-gubernamentales-segunda-carga-con-la-metodologia-en-la-anterior-aplicacion-no-la-llegamos-a-cargar","Análisis De Portales De Datos Abiertos Gubernamentales,Análisis De Portales De Datos Abiertos Gubernamentales (Segunda Carga Con La Metodología. En La Anterior Aplicación No La Llegamos A Cargar)"
cainfo,Cainfo,quesabes-uy,Quesabes.Uy
cainfo,Cainfo,sin-nombre,Sin Nombre
ae-edg,Ae Edg,asociacion-de-estudiantes-de-escuela-de-gobierno,Asociación De Estudiantes De Escuela De Gobierno
pacifista-col,Pacifista,divergentes,Divergentes
opendata-py,Opendata.Py,opendata-py,Opendata.Py
lar-de-maria-dolores,Lar De Maria Dolores,celula-de-capacitacão-tecnologica-para-meninas-e-adolescentes-cecatec,Celula De Capacitação Tecnológica Para Meninas E Adolescentes - Cecatec
fundacao-educativa-e-cultural-arca,Fundação Educativa E Cultural - Arca,plataforma-cidadã,Plataforma Cidadã
centro-de-promocion-de-la-mujer-gregoria-apaza-cpmga,Centro De Promoción De La Mujer Gregoria Apaza- Cpmga,informacion-y-gestion-de-conocimientos-de-politicas-publicas-con-enfoque-de-genero,Información Y Gestión De Conocimientos De Políticas Publicas Con Enfoque De Genero
trujillo-ahora,Trujillo Ahora,red-peruana-por-ciudades-justas-democraticas-y-sustentables,"Red Peruana Por Ciudades Justas, Democráticas Y Sustentables"
instituto-banco-da-periferia-palmas-lab,Instituto Banco Da Periferia - Palmas Lab,plataforma-cidadã,Plataforma Cidadã
instituto-banco-da-periferia-palmas-lab,Instituto Banco Da Periferia - Palmas Lab,plataforma-cidadã,
instituto-stela,Instituto Stela,suma-sistema-de-qualificacão-de-gestores-operadores-e-fornecedores-da-alimentacão-institucional,"Sumá - Sistema De Qualificação De Gestores, Operadores E Fornecedores Da Alimentação Institucional"
bikedash,Bikedash,bikedash,
sistemas-de-informacion-geografica-para-la-planeacion-y-ordenamiento-del-territorio-sigpot-sa-de-cv,Sistemas De Información Geográfica Para La Planeación Y Ordenamiento Del Territorio (Sigpot Sa De Cv),ual-me-lleva,¿Cuál Me Lleva?
centro-peruano-para-la-resiliencia-de-socioecosistemas-urbanos-centro-urbes,Centro Peruano Para La Resiliencia De Socioecosistemas Urbanos - Centro Urbes,observatorio-ciudadano-de-ecosistemas-urbanos,Observatorio Ciudadano De Ecosistemas Urbanos
laboratorio-para-la-accion-publica,Laboratorio Para La Acción Pública,laboratorio-para-la-accion-publica-appta,Laboratorio Para La Acción Pública - Appta
onesmart-technology-sa-de-cv,Onesmart Technology Sa De Cv,onesmart-technology,Onesmart Technology
corporacion-con-tacto-local,Corporación Con Tacto Local,burocratas,Burocratas
departamento-de-engenharia-e-gestão-do-conhecimento-degc,Departamento De Engenharia E Gestão Do Conhecimento (Degc),sistema-de-gestão-de-ideias-para-seguranca-publica,Sistema De Gestão De Ideias Para Segurança Pública
campana-global-por-la-libertad-de-expresion-a19-a-c,"Campaña Global Por La Libertad De Expresión A19, A.C.",observatorio-de-publicidad-oficial,Observatorio De Publicidad Oficial
campana-global-por-la-libertad-de-expresion-a19-a-c,"Campaña Global Por La Libertad De Expresión A19, A.C.",plataforma-de-rendicion-de-cuentas-de-servidores-publicos,Plataforma De Rendición De Cuentas De Servidores Públicos
imaflora,Imaflora,mobilidade-urbana-aberta,
imaflora,Imaflora,mobilidade-urbana-aberta,Mobilidade Urbana Aberta
unidad-positiva-para-el-desarrollo-ciudadano-updc,Unidad Positiva Para El Desarrollo Ciudadano - Updc,quiero-mi-guatemala-transparente,Quiero Mi Guatemala Transparente
socialab-global,Socialab Global,socialab-pia-plataforma-de-innovacion-abierta,Socialab Pia: Plataforma De Innovación Abierta
fundacion-la-network,Fundación La Network,fundacion-la-network,Fundación La Network
grupo-cemos,Grupo Cemos,red-ciudadana-de-monitoreo-de-la-calidad-del-aire,Red Ciudadana De Monitoreo De La Calidad Del Aire
centro-de-empreendedorismo-universitario-consultoria-ltda,Centro De Empreendedorismo Universitario &Consultoria Ltda,ceu-centro-de-empreendedorismo-universitario-consultoria-ltda,Ceu- Centro De Empreendedorismo Universitario &Consultoria Ltda
instituto-casa-da-cidade,Instituto Casa Da Cidade,laboratorio-de-governo-aberto-uma-plataforma-de-indicadores-e-engajamento-social,Laboratório De Governo Aberto: Uma Plataforma De Indicadores E Engajamento Social
bondiar,Bondiar,bondiarapp,Bondiarapp
todos-pela-educacão,Todos Pela Educação,observatorio-do-plano-nacional-de-educacão-opne,Observatório Do Plano Nacional De Educação (Opne)
periodico-el-faro,Periódico El Faro,la-caza-legislativa,La Caza Legislativa
instituto-salvadoreno-de-desarrollo-municipal-instituto-salvadoreno-de-desarrollo-municipal-isdem,"Instituto Salvadoreño De Desarrollo Municipal,Instituto Salvadoreño De Desarrollo Municipal (Isdem)",desarrollo-de-sistema-para-la-acreditacion-del-derecho-a-la-identidad-asemusa,Desarrollo De Sistema Para La Acreditación Del Derecho A La Identidad (Asemusa).
instituto-salvadoreno-de-desarrollo-municipal-instituto-salvadoreno-de-desarrollo-municipal-isdem,"Instituto Salvadoreño De Desarrollo Municipal,Instituto Salvadoreño De Desarrollo Municipal (Isdem)",desarrollo-de-sistema-para-transparentar-la-gestion-municipal-mijiboa,Desarrollo De Sistema Para Transparentar La Gestión Municipal Mijiboa
how-to-build-up,How To Build Up,programa-de-convivencias-digitales,Programa De Convivencias Digitales
centro-profesional-indigena-de-asesoria-defensa-y-traduccion-a-c,"Centro Profesional Indígena De Asesoría, Defensa Y Traducción A.C.",comunidad-indigena-por-la-participacion-ciudadana-en-oaxaca,Comunidad Indígena Por La Participación Ciudadana En Oaxaca
factico,Fáctico,supercivicos,Supercívicos app
factico,Fáctico,escudo-ciudadano,Escudo Ciudadano
semana,Revista Semana,minas,"Minas, el enemigo oculto"
cicatal,Cicatal,proyecto-de-knowledge-sharing-cicatal,Proyecto De Knowledge Sharing Cicatal
alampyme-br-associacão-latinoamericana-de-micro-pequenas-e-medias-empresas-capitulo-brasil,"Alampyme Br - Associação Latinoamericana De Micro, Pequenas E Médias Empresas Capítulo Brasil",plataforma-brasil-compra-cidadão-fiscaliza,Plataforma Brasil Compra & Cidadão Fiscaliza
camaleon-multimedia-sas,Camaleon Multimedia Sas,tapamihueco,Tapamihueco
comunidades-de-software-libre,Comunidades De Software Libre,comunidades-de-software-libre,Comunidades De Software Libre
comunidades-de-software-libre,Comunidades De Software Libre,grupo-informal-de-creative-commons,Grupo Informal De Creative Commons
instituto-phomenta,Instituto Phomenta,phomenta-doe-profissionalmente,Phomenta - Doe Profissionalmente.
fundacion-construir,Fundación Construir,s-la-carcel-la-solucion-abrir-el-debate-ciudadano-sobre-el-sistema-penal-boliviano,¿Es La Cárcel La Solución? Abrir El Debate Ciudadano Sobre El Sistema Penal Boliviano
movimento-nossa-bh,Movimento Nossa Bh,mobilidade-urbana-aberta,
movimento-nossa-bh,Movimento Nossa Bh,mobilidade-urbana-aberta,Mobilidade Urbana Aberta
fundacion-encuentro-para-la-participacion-ciudadana-y-la-ampliacion-de-derechos,Fundación Encuentro para la participación ciudadana y la ampliación de derechos,barometro-urbano-participativo,
universidad-rafael-landivar,Universidad Rafael Landivar,incytde-org,Incytde.Org
solvo,Solvo,sistema-de-votacion-de-votacion-electronica-autenticada-por-firma-digital,"Sistema De Votación De Votación Electrónica, Autenticada Por Firma Digital"
asociacion-transporte-ativo,Asociación Transporte Ativo,plataforma-de-bicicletas-publicas-y-compartidas-de-america-latina,Plataforma De Bicicletas Públicas Y Compartidas De América Latina
econsulting-s-r-l,Econsulting S.R.L.,sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,Sistema De Gestión De Proyectos De Inversión De La Provincia De Río Negro
saber-votar,Saber votar,saber-votar,Saber Votar
servicios-de-ideas-creativas-para-el-desarrollo-de-organizaciones-a-c,"Servicios De Ideas Creativas Para El Desarrollo De Organizaciones, A.C.",kiik-plataforma-digital-para-la-donacion-altruista-de-sangre,Kiik. Plataforma Digital Para La Donación Altruista De Sangre.
asi-asesores-para-la-inversion-social,Asi - Asesores Para La Inversión Social,construyendo-caminos-seguros,Construyendo Caminos Seguros
el-pais-col,El País,sat-condona-miles-de-millones-de-pesos-sin-explicar-por-que,"El SAT condona miles de millones de pesos, la mayoría a grandes empresas, sin explicar por qué"
el-pais-col,El País,venezuela-crimen-sin-frontera,"Venezuela, crímen sin frontera"
el-pais-col,El País,mundial-rusia-2018,Mundial Rusia 2018
usocial-maps,Usocial Maps,usocial-maps,Usocial Maps
hacks-hackers-bogota,Hacks/Hackers Bogota,hack-hakers-bogota,Hack Hakers Bogota
hacklab-asuncion,Hacklab Asunción,hackalab-asuncion,Hackalab Asuncion
lima-i-o,lima-i-o,limaio-com,Limaio.Com
flip,Fundación para la Libertad de Prensa,cartografias-de-información,Cartografías de la Información
flip,Fundación para la Libertad de Prensa,impunidad,Impunidad en Colombia
flip,Fundación para la Libertad de Prensa,pauta-visible,Pauta Visible
flip,Fundación para la Libertad de Prensa,mapa-agresiones,Mapa de violaciones a la libertad de prensa
convoca,Convoca,las-bambas,
